epoch,split,loss,mae
1,train,0.7541994178,0.0182944537
1,val,0.6315284070,0.0167643374
2,train,0.6308927529,0.0169914109
2,val,0.5819067571,0.0162277234
3,train,0.5950798553,0.0166516960
3,val,0.5556583825,0.0160640277
4,train,0.5724803764,0.0165031790
4,val,0.5454066768,0.0161820093
5,train,0.5582160728,0.0164152728
5,val,0.5291794606,0.0159513640
6,train,0.5487970949,0.0163640999
6,val,0.5217963807,0.0159946806
7,train,0.5415772706,0.0163064095
7,val,0.5178582795,0.0160966839
8,train,0.5350380225,0.0162731369
8,val,0.5126911204,0.0159074020
9,train,0.5304005780,0.0162283370
9,val,0.5056472227,0.0159737359
10,train,0.5264604215,0.0162040453
10,val,0.5001905940,0.0157974888
11,train,0.5229375721,0.0161767863
11,val,0.4981516618,0.0157409310
12,train,0.5203536391,0.0161485276
12,val,0.4962100599,0.0157337548
13,train,0.5177548531,0.0161107545
13,val,0.4976936352,0.0158126367
14,train,0.5157549974,0.0161017206
14,val,0.4950635687,0.0157459911
15,train,0.5138690674,0.0160807443
15,val,0.4942368906,0.0157493625
16,train,0.5128846034,0.0160693521
16,val,0.4919780161,0.0157386072
17,train,0.5113529940,0.0160515885
17,val,0.4937981550,0.0157556328
18,train,0.5101497277,0.0160410126
18,val,0.4931134779,0.0158863705
19,train,0.5091821282,0.0160308111
19,val,0.4910835411,0.0157542280
20,train,0.5078780292,0.0160097003
20,val,0.4945209574,0.0159466081
21,train,0.5073086518,0.0160181483
21,val,0.4938466854,0.0157531777
22,train,0.5063665269,0.0159973432
22,val,0.4880330946,0.0156335764
23,train,0.5054442349,0.0159821478
23,val,0.4865374416,0.0156460228
24,train,0.5049844082,0.0159843553
24,val,0.4844646245,0.0155840603
25,train,0.5038470439,0.0159689408
25,val,0.4849734727,0.0156839041
26,train,0.5025480853,0.0159448120
26,val,0.4841124121,0.0155634260
27,train,0.5015378847,0.0159323294
27,val,0.4894655488,0.0158383953
28,train,0.5011412591,0.0159270556
28,val,0.4826782867,0.0155958657
